file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes_and_spectral_correction_factors_(scf),,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7200,RSSI_LI-7500,variances,,,,,,,,covariances,,,,,custom_variables,,,,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,none_flux,qc_none_flux,rand_err_none_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,none_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,none_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,none_molar_density,none_mole_fraction,none_mixing_ratio,none_time_lag,none_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_none_flux,un_none_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,none_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,mean_value_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,none_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/none_cov,air_t_mean,air_p_mean,u_mean,v_mean,w_mean,ts_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean,ch4_mean,rssi_77_mean,ch4_aux-1_mean,ch4_aux-2_mean,ch4_aux-3_mean,ch4_aux-4_mean,ch4_tc_1_mean,ch4_tc_2_mean,ch4_tc_3_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1s-1K+1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-10-05T093000_AIU-1200.ghg,2022/10/05,10:00:00,278.417,1,18000,18000,-0.147464,1,4.08E-02,28.8904,1,12.4553,160.828,1,23.1962,-1.74242,1,1.09444,3.62178,1,0.52237,9.15E-02,1,9.92E-03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.66E-11,1.62E-12,2.34E-13,-9999,17.2089,407.128,414.346,0,1,599.665,14.1868,14.391,0.1,0,8.66E-02,2.0448,2.08105,-0.1,0,-9999,-9999,-9999,-9999,9,297.199,288.293,101313,1.21774,1013.2,2.37E-02,0.234691,1.08E-02,1437.7,1715.79,8.87E-03,83.7922,278.092,285.537,0.966832,-1.28354,0.135103,1.61261,6.67E-15,2.71E-15,1.61261,6.77756,334.55,306.989,4.80582,-9999,0.347989,1.31643,-128.516,-3.27E-02,0.179636,6.73E-02,0,27.3387,-4.14876,9.38451,23.3688,35.6388,49.984,74.8851,-0.14574,1.01183,37.7921,1.01393,146.462,1.06774,-4.32216,1.06774,3.29826,1.06774,6.57E-02,1.09506,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800001019,899999999,899999999,89999,89999,89,89,13,3,1,32,42,6,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.28151,0.952,0.399347,0.134981,1.63E-03,315.361,1.04E-07,-9999,3.06E-02,-4.32E-03,3.29826,6.57E-05,-9999,288.425,101105,2.66E-04,6.56E-03,-4.93E-03,3.59E-04,408.125,17.4635,15.4843,104.024,2.03199,81.8941,1.42E-04,2.63E-05,1.24E-04,1.17E-05,9999.99,9999.99,9999.99
2022-10-05T100000_AIU-1200.ghg,2022/10/05,10:30:00,278.437,1,18000,18000,-0.104813,1,2.22E-02,39.0207,0,7.23008,132.601,0,17.663,-2.97955,0,0.976009,2.98801,0,0.398016,8.15E-02,0,6.67E-03,-9999,-9999,-9999,2.93082,-0.379971,-9.10E-02,-8.56E-03,1.15E-04,-9999,1.51E-11,5.25E-13,7.61E-14,-9999,17.1463,406.523,413.757,0,1,595.973,14.13,14.3325,0,1,8.64E-02,2.04556,2.08196,-0.1,0,-9999,-9999,-9999,-9999,9,298.088,288.949,101325,1.21514,1013.18,2.37E-02,0.193623,1.07E-02,1432.1,1789.55,8.84E-03,80.0257,357.45,285.478,0.982644,-1.10522,8.84E-02,1.48152,-9.52E-15,8.80E-16,1.48152,6.87449,328.484,311.64,3.4194,-9999,0.293692,1.06549,-57.2046,-7.34E-02,0.294272,0.107917,0,27.7383,-4.20939,9.52165,23.7103,36.1596,50.7144,75.9794,-0.103524,1.01245,46.1767,1.0141,119.758,1.06737,-5.69178,1.06737,2.69862,1.06737,5.54E-02,1.09493,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800110019,899999999,899999999,89999,89999,89,89,25,19,5,27,38,18,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.3072,0.549612,0.274149,6.61E-02,1.69E-03,279.368,8.59E-08,-9999,3.75E-02,-5.69E-03,2.69862,5.54E-05,-9999,289.183,101116,2.59E-04,6.59E-03,-4.98E-03,3.43E-04,407.667,17.5325,15.548,104.042,2.03282,82.341,1.46E-04,4.42E-05,1.36E-04,2.18E-05,9999.99,9999.99,9999.99
2022-10-05T103000_AIU-1200.ghg,2022/10/05,11:00:00,278.458,1,18000,18000,-0.12711,1,3.08E-02,38.4711,0,10.8348,146.781,0,20.41,-3.28269,0,1.25109,3.30876,0,0.460084,8.00E-02,0,7.36E-03,-9999,-9999,-9999,1.69354,-0.42335,-8.54E-02,-9.54E-03,-6.36E-05,-9999,9.57E-11,3.32E-12,4.83E-13,-9999,17.101,405.956,413.17,-0.1,0,592.558,14.0665,14.2672,0,1,8.63E-02,2.04514,2.08148,-0.1,0,-9999,-9999,-9999,-9999,9,298.59,289.328,101332,1.21365,1013.16,2.37E-02,0.214408,1.07E-02,1425.77,1833.48,8.80E-03,77.7627,407.717,285.41,1.15235,-1.3016,9.47E-02,1.74099,-5.66E-14,5.60E-15,1.74099,7.53424,331.041,311.519,3.11917,-9999,0.323626,1.15226,-77.6356,-5.41E-02,0.262098,9.67E-02,0,28.707,-4.3564,9.85418,24.5383,37.4225,52.4855,78.6329,-0.125686,1.01133,46.4779,1.01385,132.813,1.06822,-6.06184,1.06822,2.99387,1.06822,5.33E-02,1.09531,-9999,-9999,800000009,800000009,800000009,800000009,800001009,800011119,899999999,899999999,89999,89999,89,89,16,33,5,53,43,16,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.4089,0.58977,0.305842,0.121922,2.57E-03,292.817,8.17E-08,-9999,3.78E-02,-6.06E-03,2.99387,5.33E-05,-9999,289.501,101122,2.63E-04,6.61E-03,-5.00E-03,3.43E-04,407.012,17.5053,15.5241,104.05,2.03247,82.4172,1.51E-04,4.41E-05,1.43E-04,2.00E-05,9999.99,9999.99,9999.99
2022-10-05T110000_AIU-1200.ghg,2022/10/05,11:30:00,278.479,1,18000,18000,-0.180291,1,4.45E-02,69.3676,0,9.9307,178.915,0,26.7634,-3.67733,0,1.63467,4.03458,0,0.603521,8.64E-02,0,6.88E-03,-9999,-9999,-9999,1.66886,0.889376,-7.81E-02,2.01E-02,-2.23E-05,-9999,-1.23E-10,-4.32E-12,-6.23E-13,-9999,17.0587,405.437,412.726,0,1,597.465,14.2,14.4046,0,1,8.61E-02,2.04499,2.08176,-0.1,0,-9999,-9999,-9999,-9999,9,299.175,289.703,101341,1.21214,1013.24,2.38E-02,0.261441,1.08E-02,1439.44,1877.75,8.88E-03,76.6574,438.316,285.555,1.26034,-1.61648,7.24E-02,2.05102,5.54E-14,-7.23E-15,2.05102,8.02994,334.09,307.943,2.02296,-9999,0.385665,1.63364,-72.8759,-5.76E-02,0.387713,0.146447,0,28.5782,-4.33686,9.80998,24.4282,37.2546,52.2501,78.2802,-0.178426,1.01045,78.8289,1.01389,160.043,1.06977,-8.0757,1.06977,3.60899,1.06977,4.84E-02,1.09632,-9999,-9999,800000009,800000009,800000009,800000009,800001019,800011119,899999999,899999999,89999,89999,89,89,3,3,5,20,23,29,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.8906,0.937034,0.439631,6.94E-02,3.46E-03,334.989,5.91E-08,-9999,6.42E-02,-8.08E-03,3.60899,4.84E-05,-9999,289.83,101131,2.67E-04,6.63E-03,-5.01E-03,3.48E-04,406.428,17.7049,15.7023,104.058,2.03221,82.4251,1.50E-04,5.46E-05,1.45E-04,2.57E-05,9999.99,9999.99,9999.99
2022-10-05T113000_AIU-1200.ghg,2022/10/05,12:00:00,278.5,1,18000,18000,-0.137181,1,3.55E-02,88.228,0,12.198,157.706,0,20.8154,-4.21525,0,1.38693,3.55762,0,0.469566,8.32E-02,0,5.53E-03,-9999,-9999,-9999,1.72242,2.07676,-0.145547,4.68E-02,-3.12E-05,-9999,-5.90E-11,-2.12E-12,-2.98E-13,-9999,16.998,404.467,411.873,0,1,609.884,14.5122,14.7259,0,1,8.59E-02,2.04478,2.08223,-0.1,0,-9999,-9999,-9999,-9999,9,299.523,290.09,101358,1.21058,1013.42,2.38E-02,0.230534,1.10E-02,1471.32,1924.47,9.08E-03,76.4531,453.153,285.889,1.10238,-1.33412,9.05E-02,1.73301,-1.20E-14,-3.47E-15,1.73301,6.94488,332.733,309.567,2.99399,-9999,0.336628,1.28454,-38.1094,-0.110167,0.559447,0.213635,0,28.006,-4.25001,9.61354,23.9391,36.5086,51.2038,76.7126,-0.13564,1.01136,96.2295,1.01385,139.221,1.06819,-9.23842,1.06819,3.14063,1.06819,4.15E-02,1.09529,-9999,-9999,800000009,800000009,800000009,800000009,800001009,800001119,899999999,899999999,89999,89999,89,89,5,9,2,15,12,24,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.52648,0.690589,0.351999,0.133454,2.87E-03,278.449,5.25E-08,-9999,7.84E-02,-9.24E-03,3.14063,4.15E-05,-9999,290.483,101147,2.73E-04,6.64E-03,-5.01E-03,3.54E-04,405.828,18.0426,16.0009,104.071,2.03173,82.3958,1.48E-04,5.61E-05,1.43E-04,2.69E-05,9999.99,9999.99,9999.99
2022-10-05T120000_AIU-1200.ghg,2022/10/05,12:30:00,278.521,1,18000,18000,-8.60E-02,1,2.17E-02,76.288,1,9.65441,135.533,1,17.378,-4.04389,1,1.04086,3.05915,1,0.392244,7.30E-02,1,4.80E-03,-9999,-9999,-9999,2.57838,0.347084,-3.05E-02,7.83E-03,-4.32E-05,-9999,-1.30E-10,-4.67E-12,-6.55E-13,-9999,16.9557,404.263,411.68,0,1,610.867,14.5645,14.7798,0,1,8.57E-02,2.04449,2.082,-0.1,0,-9999,-9999,-9999,-9999,9,300.03,290.67,101359,1.20815,1013.47,2.38E-02,0.198233,1.10E-02,1476.64,1996.46,9.11E-03,73.9629,519.819,285.944,1.07723,-1.27535,7.71E-02,1.6712,-5.83E-15,-7.65E-15,1.6712,6.85152,330.407,310.186,2.64413,-9999,0.266788,1.11667,-21.9403,-0.191355,0.562874,0.233539,0,24.059,-3.65105,8.25868,20.5653,31.3633,43.9875,65.9013,-8.50E-02,1.01159,83.1754,1.01388,119.629,1.06795,-8.34807,1.06795,2.70018,1.06795,3.68E-02,1.09516,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800111019,899999999,899999999,89999,89999,89,89,7,1,1,18,10,16,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.30725,0.602943,0.323151,0.126068,2.39E-03,240.278,4.35E-08,-9999,6.79E-02,-8.35E-03,2.70018,3.68E-05,-9999,291.084,101149,2.84E-04,6.65E-03,-5.01E-03,3.62E-04,405.653,18.078,16.0323,104.076,2.03141,82.4358,1.43E-04,5.99E-05,1.38E-04,2.88E-05,9999.99,9999.99,9999.99
2022-10-05T123000_AIU-1200.ghg,2022/10/05,13:00:00,278.542,1,18000,18000,-0.20748,1,3.66E-02,76.4211,0,11.7363,151.445,0,23.5794,-4.26359,0,1.71554,3.41936,0,0.532383,8.61E-02,0,7.44E-03,-9999,-9999,-9999,1.45016,-0.53491,1.43E-02,-1.21E-02,-1.21E-04,-9999,5.90E-11,2.11E-12,2.98E-13,-9999,16.9377,404.359,411.746,0,1,606.694,14.4838,14.6966,0,1,8.55E-02,2.04369,2.08102,-0.1,0,-9999,-9999,-9999,-9999,9,300.293,290.997,101341,1.20662,1013.43,2.39E-02,0.221575,1.09E-02,1468.2,2038.03,9.06E-03,72.0402,569.828,285.857,1.38929,-1.68691,0.113178,2.18829,5.07E-14,3.48E-15,2.18829,9.44469,331.335,309.474,2.96466,-9999,0.414671,1.87969,-82.2319,-5.11E-02,0.504615,0.150712,0,29.0061,-4.40179,9.95685,24.794,37.8124,53.0324,79.4522,-0.20539,1.01017,84.2189,1.01399,134.02,1.07059,-8.67199,1.07059,3.02596,1.07059,4.77E-02,1.09691,-9999,-9999,800000009,800000009,800000009,800000009,800001019,810011119,899999999,899999999,89999,89999,89,89,5,12,1,39,41,29,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,2.29441,0.975133,0.489846,0.115989,3.88E-03,261.165,5.60E-08,-9999,6.89E-02,-8.67E-03,3.02596,4.77E-05,-9999,291.371,101132,2.90E-04,6.67E-03,-5.02E-03,3.68E-04,405.688,17.9996,15.9613,104.083,2.0307,82.4747,1.38E-04,6.32E-05,1.34E-04,3.16E-05,9999.99,9999.99,9999.99
2022-10-05T130000_AIU-1200.ghg,2022/10/05,13:30:00,278.562,1,18000,18000,-0.131815,1,2.93E-02,74.8396,1,9.69603,144.106,1,20.0231,-2.99485,1,1.19774,3.25513,1,0.452291,8.40E-02,1,6.08E-03,-9999,-9999,-9999,2.04521,1.42619,-0.168667,3.22E-02,-1.78E-04,-9999,1.71E-10,6.24E-12,8.66E-13,-9999,16.8607,403.229,410.7,0,1,614.648,14.6995,14.9188,0.1,0,8.53E-02,2.04249,2.08034,-0.1,0,-9999,-9999,-9999,-9999,9,300.773,291.459,101324,1.2044,1013.56,2.39E-02,0.210932,1.11E-02,1489.81,2098.05,9.20E-03,71.0093,608.238,286.08,0.919269,-1.42478,2.16E-02,1.69574,-2.35E-14,1.01E-14,1.69574,9.01187,341.89,302.83,0.728513,-9999,0.330823,1.37248,-42.6351,-9.85E-02,0.519337,0.185317,0,26.31,-3.99264,9.03137,22.4894,34.2977,48.103,72.0671,-0.130317,1.0115,82.2759,1.01387,127.583,1.06804,-7.35389,1.06804,2.8819,1.06804,4.68E-02,1.09521,-9999,-9999,800000009,800000009,800000009,800000009,800001019,800101119,899999999,899999999,89999,89999,89,89,7,21,5,21,25,26,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.5748,0.772805,0.397374,8.77E-02,2.23E-03,234.35,5.28E-08,-9999,6.74E-02,-7.35E-03,2.8819,4.68E-05,-9999,291.903,101114,3.00E-04,6.68E-03,-5.01E-03,3.78E-04,404.656,18.2558,16.1806,104.083,2.02932,82.4977,1.35E-04,6.83E-05,1.32E-04,3.42E-05,9999.99,9999.99,9999.99
2022-10-05T133000_AIU-1200.ghg,2022/10/05,14:00:00,278.583,1,18000,18000,-7.77E-02,1,2.24E-02,53.9995,1,6.35021,93.1899,1,12.1059,-3.24308,1,0.827075,2.10536,1,0.273497,6.32E-02,1,4.43E-03,-9999,-9999,-9999,0.74792,0.668831,-8.63E-02,1.51E-02,-4.67E-04,-9999,5.46E-11,2.01E-12,2.76E-13,-9999,16.8248,402.65,410.167,0,1,618.453,14.8008,15.0231,0,1,8.51E-02,2.03936,2.07743,-0.1,0,-9999,-9999,-9999,-9999,9,300.985,291.628,101312,1.20352,1013.62,2.39E-02,0.136427,1.11E-02,1499.9,2120.39,9.26E-03,70.7369,620.494,286.183,1.49143,-1.48902,4.36E-02,2.10795,-6.51E-14,3.25E-15,2.10795,6.88873,326.532,315.046,1.1849,-9999,0.25408,1.259,-26.7675,-0.156847,0.579457,0.174217,0,23.3969,-3.55057,8.03141,19.9993,30.5003,42.777,64.0878,-7.69E-02,1.01033,58.7239,1.01392,81.9133,1.0701,-6.20947,1.0701,1.85059,1.0701,3.68E-02,1.09655,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800011119,899999999,899999999,89999,89999,89,89,2,1,4,34,21,28,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.32259,0.880732,0.314669,5.66E-02,1.46E-03,137.173,4.13E-08,-9999,4.81E-02,-6.21E-03,1.85059,3.68E-05,-9999,291.876,101102,3.05E-04,6.70E-03,-5.01E-03,3.83E-04,403.804,18.3773,16.2838,104.083,2.02613,82.4492,1.33E-04,7.47E-05,1.31E-04,3.79E-05,9999.99,9999.99,9999.99
2022-10-05T140000_AIU-1200.ghg,2022/10/05,14:30:00,278.604,1,18000,18000,-7.65E-02,0,2.01E-02,40.3546,0,6.1655,95.3095,0,16.3121,-1.22898,0,1.17281,2.15315,0,0.368508,8.01E-02,0,9.25E-03,-9999,-9999,-9999,-0.190019,2.04601,-0.12105,4.62E-02,6.48E-04,-9999,-2.27E-10,-8.54E-12,-1.15E-12,-9999,16.792,401.839,409.54,-0.1,0,631.435,15.1105,15.3423,0,1,8.53E-02,2.04371,2.08287,-0.1,0,-9999,-9999,-9999,-9999,9,301.209,291.585,101304,1.20345,1013.79,2.39E-02,0.139524,1.14E-02,1531.16,2114.7,9.45E-03,72.4056,583.537,286.499,0.601092,-0.898524,7.79E-02,1.08385,-2.42E-14,-1.35E-14,1.08385,4.58972,336.513,303.782,4.12294,-9999,0.252057,0.583274,-34.9693,-0.12006,0.423406,0.131225,0,28.2993,-4.29453,9.71423,24.1898,36.891,51.7401,77.5162,-7.53E-02,1.0154,45.3502,1.01536,84.9775,1.06732,-3.74693,1.06732,1.91974,1.06732,5.58E-02,1.09567,-9999,-9999,800000009,800000009,800000009,800000009,800001009,800001019,899999999,899999999,89999,89999,89,89,6,12,0,17,22,17,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,0.652106,0.32293,0.191512,4.48E-02,2.55E-03,255.786,1.61E-07,-9999,3.72E-02,-3.75E-03,1.91974,5.58E-05,-9999,291.894,101093,3.02E-04,6.70E-03,-5.03E-03,3.78E-04,403.074,18.8618,16.6903,104.096,2.03018,82.4061,1.33E-04,7.55E-05,1.32E-04,3.67E-05,9999.99,9999.99,9999.99
2022-10-05T143000_AIU-1200.ghg,2022/10/05,15:00:00,278.625,1,18000,18000,-9.96E-02,0,2.18E-02,64.0357,0,9.14921,134.048,0,16.2336,-1.48766,0,0.894742,3.03133,0,0.367103,9.81E-02,0,9.75E-03,-9999,-9999,-9999,4.57192,3.81226,9.15E-02,8.62E-02,2.95E-04,-9999,1.79E-10,6.97E-12,9.07E-13,-9999,16.7567,402.455,410.236,0,1,653.286,15.6903,15.9404,0,1,8.50E-02,2.04569,2.08525,-0.1,0,-9999,-9999,-9999,-9999,9,301.805,292.622,101295,1.19882,1014.14,2.40E-02,0.19643,1.18E-02,1589.78,2256.05,9.82E-03,70.4672,666.277,287.077,1.18192,-1.0628,3.15E-02,1.5898,7.96E-14,1.07E-14,1.5898,5.62117,323.974,318.038,1.13386,-9999,0.288185,0.872982,-32.938,-0.127464,0.477707,0.182768,0,29.1137,-4.41811,9.99378,24.8859,37.9526,53.2291,79.7468,-9.84E-02,1.01193,71.0616,1.01395,118.712,1.06766,-5.36124,1.06766,2.68452,1.06766,6.32E-02,1.09503,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800011119,899999999,899999999,89999,89999,89,89,15,23,1,33,42,22,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,0.902226,0.609735,0.234003,0.15725,2.61E-03,265.403,1.78E-07,-9999,5.84E-02,-5.36E-03,2.68452,6.32E-05,-9999,293.656,101085,3.14E-04,6.71E-03,-5.01E-03,3.90E-04,404.685,19.0729,16.8643,104.081,2.03166,82.416,1.13E-04,6.91E-05,1.11E-04,3.64E-05,9999.99,9999.99,9999.99
2022-10-05T150000_AIU-1200.ghg,2022/10/05,15:30:00,278.646,1,18000,18000,-2.90E-02,1,1.59E-02,14.21,1,4.25945,76.0912,1,14.9751,1.93505,1,1.09122,1.7201,1,0.338525,6.41E-02,1,7.52E-03,-9999,-9999,-9999,-1.60837,-2.49553,3.41E-02,-5.64E-02,-1.69E-03,-9999,9.72E-11,3.70E-12,4.90E-13,-9999,16.79,402.684,410.509,0,1,638.415,15.3114,15.5495,0,1,8.46E-02,2.03434,2.07388,-0.1,0,-9999,-9999,-9999,-9999,9,301.915,292.258,101313,1.2007,1013.92,2.40E-02,0.111463,1.15E-02,1551.66,2205.48,9.58E-03,70.3546,653.822,286.703,0.875612,-1.15783,9.81E-03,1.45167,-5.35E-14,5.79E-15,1.45167,6.15427,339.07,307.099,0.387352,-9999,0.155521,0.836727,-23.3295,-0.179961,0.18675,7.51E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.87E-02,1.01261,18.4995,1.01415,69.1445,1.0673,0.535645,1.0673,1.56307,1.0673,4.99E-02,1.09492,-9999,-9999,800000009,800000009,800000009,800000009,800001009,800011119,899999999,899999999,89999,89999,89,89,0,2,1,44,32,20,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,0.980227,0.499433,0.193795,4.11E-02,3.95E-03,240.328,1.21E-07,-9999,1.52E-02,5.36E-04,1.56307,4.99E-05,-9999,292.457,101101,3.26E-04,6.72E-03,-5.00E-03,4.01E-04,403.771,19.1142,16.9012,104.104,2.02072,82.4482,1.03E-04,6.16E-05,9.92E-05,3.29E-05,9999.99,9999.99,9999.99
